Bathing Water,Lat,Long,Water Company ,Classification
Pagham,50.7675502319918,-0.736497732795299,Southern Water Services Limited,Excellent
Paignton Paignton Sands,50.4350758512284,-3.55884281266126,South West Water Limited,Good
Paignton Preston Sands,50.4444648040581,-3.55619366506286,South West Water Limited,Excellent
Par Sands,50.3469722189893,-4.69282422743833,South West Water Limited,Sufficient
Pendower,50.2056700645544,-4.94779756978228,South West Water Limited,Good
Pentewan,50.2875583923612,-4.78255130253817,South West Water Limited,Excellent
Penzance,50.1146703148637,-5.53552896653342,South West Water Limited,Good
Perranporth,50.349372204644,-5.1550635763185,South West Water Limited,Excellent
Perranporth Penhale Sands,50.3593678651711,-5.1513676068956,South West Water Limited,Excellent
Perranuthnoe,50.1122525406346,-5.44245580831161,South West Water Limited,Excellent
Pevensey Bay,50.8099898313679,0.35032872068549,Southern Water Services Limited,Good
Plymouth Hoe East,50.36393709632,-4.14087672941162,South West Water Limited,Good
Plymouth Hoe West,50.3640313505814,-4.14552119217669,South West Water Limited,Excellent
Poldhu Cove,50.0335544983364,-5.26125534124518,South West Water Limited,Excellent
Polkerris,50.3378794985352,-4.68148770272917,South West Water Limited,Good
Polstreath,50.2743864942043,-4.78416897141297,South West Water Limited,Excellent
Polurrian Cove,50.0233499057156,-5.25623485684049,South West Water Limited,Excellent
Polzeath,50.5748227877177,-4.91641319696109,South West Water Limited,Excellent
Poole Branksome Chine,50.7059129455387,-1.9099627041663,Wessex Water Services Limited,Excellent
Poole Canford Cliffs Chine,50.7004710167838,-1.92052213571419,Wessex Water Services Limited,Excellent
Poole Harbour Lake,50.7138492148326,-2.02526943121092,Wessex Water Services Limited,Excellent
Poole Harbour Rockley Sands,50.719330531449,-2.04014616943396,Wessex Water Services Limited,Good
Poole Sandbanks Peninsular,50.6887007951396,-1.93738788221216,Wessex Water Services Limited,Excellent
Poole Shore Road Beach,50.6946674055625,-1.92938068365715,Wessex Water Services Limited,Excellent
Porlock Weir,51.2190192938815,-3.6262649577776,Wessex Water Services Limited,Excellent
Porth,50.4246784173834,-5.05699471231187,South West Water Limited,Good
Porthallow,50.0685773406125,-5.07928041433367,South West Water Limited,Excellent
Porthcothan,50.5090318571474,-5.02351046811618,South West Water Limited,Excellent
Porthcurnick,50.1861488307772,-4.97251413001177,South West Water Limited,Good
Porthcurno,50.0429147873402,-5.65039285876609,South West Water Limited,Excellent
Porthgwidden,50.2172111971261,-5.47665213877545,South West Water Limited,Excellent
Porthkidney Sands,50.1941216239555,-5.43937723793687,South West Water Limited,Good
Porthleven Sands,50.0810654983874,-5.31481129754882,South West Water Limited,Good
Porthluney,50.2367931235688,-4.84326651369793,South West Water Limited,Sufficient
Porthmeor,50.2153000175372,-5.48338305416661,South West Water Limited,Excellent
Porthminster,50.2086747709166,-5.47631146879273,South West Water Limited,Excellent
Porthoustock,50.0555729641758,-5.06419511534881,South West Water Limited,Excellent
Porthpean,50.323582322786,-4.76568765910925,South West Water Limited,Excellent
